,1	Like a Rolling Stone	Bob Dylan	1965
0,2	Satisfaction	The Rolling Stones	1965
1,3	Imagine	John Lennon	1971
2,4	What's Going On	Marvin Gaye	1971
3,5	Respect	Aretha Franklin	1967
4,6	Good Vibrations	The Beach Boys	1966
5,7	Johnny B. Goode	Chuck Berry	1958
6,8	Hey Jude	The Beatles	1968
7,9	Smells Like Teen Spirit	Nirvana	1991
8,10	What'd I Say	Ray Charles	1959
9,11	My Generation	The Who	1965
10,12	A Change Is Gonna Come	Sam Cooke	1964
11,13	Yesterday	The Beatles	1965
12,14	Blowin' in the Wind	Bob Dylan	1963
13,15	London Calling	The Clash	1980
14,16	I Want to Hold Your Hand	The Beatles	1963
15,17	Purple Haze	The Jimi Hendrix Experience	1967
16,18	Maybellene	Chuck Berry	1955
17,19	Hound Dog	Elvis Presley	1956
18,20	Let It Be	The Beatles	1970
19,21	Born to Run	Bruce Springsteen	1975
20,22	Be My Baby	The Ronettes	1963
21,23	In My Life	The Beatles	1965
22,24	People Get Ready	The Impressions	1965
23,25	God Only Knows	The Beach Boys	1966
24,26	A Day in the Life	The Beatles	1967
25,27	Layla	Derek and the Dominos	1970
26,28	(Sittin' on) the Dock of the Bay	Otis Redding	1968
27,29	Help!	The Beatles	1965
28,30	I Walk the Line	Johnny Cash	1956
29,31	Stairway To Heaven	Led Zeppelin	1971
30,32	Sympathy for the Devil	The Rolling Stones	1968
31,33	River Deep - Mountain High	Ike & Tina Turner	1966
32,34	You've Lost That Lovin' Feelin'	The Righteous Brothers	1964
33,35	Light My Fire	The Doors	1967
34,36	One	U2	1991
35,"37	""No Woman, No Cry""	Bob Marley & The Wailers	1975"
36,38	Gimme Shelter	The Rolling Stones	1969
37,39	That'll Be the Day	Buddy Holly	1957
38,40	Dancing in the Street	Martha and the Vandellas	1964
39,41	The Weight	The Band	1968
40,42	Waterloo Sunset	The Kinks	1967
41,43	Tutti Frutti	Little Richard	1955
42,44	Georgia on My Miind	Ray Charles	1960
43,45	Heartbreak Hotel	Elvis Presley	1956
44,46	Heroes	David Bowie	1977
45,47	Bridge over Troubled Water	Simon and Garfunkel	1970
46,48	All Along the Watchtower	The Jimi Hendrix Experience	1968
47,49	Hotel California	The Eagles	1976
48,50	The Tracks of My Tears	The Miracles	1965
49,51	The Message	Grandmaster Flash & the Furious Five	1982
50,52	When Doves Cry	Prince and the Revolution	1984
51,53	Anarchy in the U.K.	Sex Pistols	1977
52,54	When a Man Loves a Woman	Percy Sledge	1966
53,55	Louie Louie	The Kingsmen	1963
54,56	Long Tall Sally	Little Richard	1956
55,57	A Whiter Shade of Pale	Procol Harum	1967
56,58	Billie Jean	Michael Jackson	1983
57,59	The Times They Are A-Changin'	Bob Dylan	1964
58,60	Let's Stay Together	Al Green	1971
59,61	Whole Lotta Shakin' Goin On	Jerry Lee Lewis	1957
60,62	Bo Diddley	Bo Diddley	1955
61,63	For What It's Worth	Buffalo Springfield	1967
62,64	She Loves You	The Beatles	1963
63,65	Sunshine of Your Love	Cream	1968
64,66	Redemption Song	Bob Marley & The Wailers	1980
65,67	Jailhouse Rock	Elvis Presley	1957
66,68	Tangled Up in Blue	Bob Dylan	1975
67,69	Crying	Roy Orbison	1961
68,70	Walk On By	Dionne Warwick	1964
69,71	California Girls	The Beach Boys	1965
70,72	Papa's Got a Brand New Bag	James Brown	1966
71,73	Summertime Blues	Eddie Cochran	1958
72,74	Superstition	Stevie Wonder	1972
73,75	Whole Lotta Love	Led Zeppelin	1969
74,76	Strawberry Fields Forever	The Beatles	1967
75,77	Mystery Train	Elvis Presley	1955
