review_id,text,rating,user,time_created,business_id_R,business_id,name,review_count,rating,price,phone,street,city,zip_code,state,country
--RgY9uwpRpADEdwOMvO9g,"Came here for our New Year's Eve dinner. We were running a bit late (got  held back by some unexpected rain and needed to run to get umbrellas) but we...",5,"Laura C.","2020-01-15 06:01:17",MHbxF-ZS918-ZoXKQPBEyg,MHbxF-ZS918-ZoXKQPBEyg,"Sotto Le Stelle",188,4.50,2,+17186852086,"4407 Queens Blvd",Sunnyside,11104,NY,US
-3el4zvenOqn1S9oW7jbug,"STAY AWAY! We unfortunately chose to come here for my 40th birthday. I had read great reviews on EaterNY. We did our due diligence and made a reservation....",1,"Jenn S.","2020-01-11 17:37:21",rJJiGJx3kfMAxtD7P7okHQ,rJJiGJx3kfMAxtD7P7okHQ,Celeste,890,3.50,2,+12128744559,"502 Amsterdam Ave","New York",10024,NY,US
-3g3XHsAI49umEclXeao7Q,"This is my second time eating at Santa Panza and the food was even more spectacular than I remembered. The squid ink pasta was flavorful in a rich, slight...",4,"Carly G.","2020-01-11 07:10:10",eTneVbjPKdo4gD9HfkDGdA,eTneVbjPKdo4gD9HfkDGdA,"Santa Panza",155,4.50,2,+13474139695,"1079 Broadway",Brooklyn,11221,NY,US
-3RuLxGVg1JBnQOARtnICQ,"2 slices of true NYC pizza & a can of soda for $3- you can't beat it!!! 

Quick moving line, convenient location, will definitely go back.",5,"Jannah G.","2020-01-11 09:14:30",H1YIowHp7SMbpVoOtSEIJg,H1YIowHp7SMbpVoOtSEIJg,"2 Bros Pizza",392,4.00,1,+12127044251,"31 W 46th St","New York",10036,NY,US
-4J-0DCpqdwtJsRy7XM_FQ,"The crust was chewy like a bagel--which New York specialty we goin' for, here?--but the toppings were quite good.

Don't get me wrong, chewy crust is great...",4,"Isaac A.","2019-10-09 13:29:44",orvnuNWLuoE3-iEx4Aj8eA,orvnuNWLuoE3-iEx4Aj8eA,"Baker's Pizza",204,4.50,1,+12127777477,"201 Avenue A","New York",10009,NY,US
-4lmBZJ7u_e3wt6vVU4xNA,"Great pizza! Got the buffalo chicken and one of the white sauces. Def worth the price. Nice staff.",4,"Niha K.","2019-10-30 08:54:36",rjF9aAhcQRla351KCCZ2ag,rjF9aAhcQRla351KCCZ2ag,"Bardolino Pizza 2",26,3.50,NULL,+16468858316,"411 Amsterdam Ave","New York",10024,NY,US
-75gA-4VS4U3zTKByjSfVA,"So we were starving and went to like 3 different pizza places because sometimes you just really need some pizza! WELL we finally got here to Marinara and...",5,"Victoria S.","2020-01-24 18:49:16",LrhaNrj_-eOXWOoHSUFiBg,LrhaNrj_-eOXWOoHSUFiBg,"Marinara Pizza",91,3.50,1,+19172612147,"985 1st Ave","New York",10022,NY,US
-7Vh0FhhkCgcY718JdcjvQ,"Came here on a Saturday night and were lucky enough to sneak into a table for 2 right as someone left.

The place is loud but still enjoyable with a great,...",5,"Jason C.","2020-01-05 18:24:28",FKzpfWUpyupl4q74Jt8fTA,FKzpfWUpyupl4q74Jt8fTA,"Don Antonio",1413,4.00,2,+16467191043,"309 W 50th St","New York",10019,NY,US
-8Be7OD0od3b1l9gegjq9A,"Hands down, my favorite thin crust pizza place IN THE WORLD. The slices here are so amazing that I'm torn between not wanting people to know about this...",5,"Jennifer C.","2020-01-15 10:36:34",hGksyTiHBBdrhbiVjXzWVw,hGksyTiHBBdrhbiVjXzWVw,"Scarr's Pizza",364,4.00,1,+12123343481,"22 Orchard St","New York",10002,NY,US
-9Df2RtxeH3pCNUdEqeKoQ,"I've been wanting to try this place for awhile and finally got to last night- and wow, what horrible service.

Food: The pizza's were decent, but for what...",1,"Cindy T.","2019-12-23 06:23:24",UuY1QCxWybMF0IMxAYG06w,UuY1QCxWybMF0IMxAYG06w,"Emmy Squared - Brooklyn",601,4.00,2,+17183604535,"364 Grand St",Brooklyn,11211,NY,US
-9kyQycGzG0ozr-TplfMiQ,"Came here for a first date, and we absolutely loved it! Got a bottle of cab, which was delicious, and started with the regular pizza and burrata. I think my...",5,"Elizabeth F.","2020-01-10 10:25:41",vjubSxmdG_HoBBgd39geBw,vjubSxmdG_HoBBgd39geBw,"Nino's 46",1208,4.00,2,+12127194015,"39 W 46th St","New York",10036,NY,US
-b0xqVG4Q60VirRC0-mj0g,"Cash only (ATM inside). No bathroom. Decent amount of seating.

Fun pizza joint with multiple vegan options and fun wall art.

They had plain vegan slices...",4,"Maria E.","2019-12-31 15:36:50",lxPVSGnZ7YTiO5OGrqBS8Q,lxPVSGnZ7YTiO5OGrqBS8Q,"Vinnie's Pizzeria",661,4.00,1,+17187827078,"148 Bedford Ave",Brooklyn,11211,NY,US
-bnE1ODLXI4ulTA2Y49dYw,"This review is really a plea to Big Al to reverse whatever changes you made and revert to your glorious reign as the boss of downtown pizza.

I've been...",3,"Gary S.","2019-06-27 18:33:12",_olUGA21Lb85Lxhm0Nz_UA,_olUGA21Lb85Lxhm0Nz_UA,"Big Al's Chicago Style Pizza",71,3.50,1,+12129643269,"9 Thames St","New York",10006,NY,US
-EeIyI1po0NKp9vYRqrhTw,"Maybe I'm just used to real New York style or New Haven style pizza, but this just wasn't good.  The ratio of cheese to sauce was off. Extra cheese,  yumm,...",2,"Markus Remy L.","2019-10-13 16:53:35",S9S-uR_AvwZnUM3lfBTIwQ,S9S-uR_AvwZnUM3lfBTIwQ,"Village Pizza",133,4.00,1,+12122434367,"65 8th Ave","New York",10014,NY,US
